country,continent,lifeExp,pop,gdpPercap
Switzerland,Europe,72.77,6063000,22966.14432
Syria,Asia,53.655,5680812,1881.923632
Taiwan,Asia,67.5,13648692,2643.858681
Tanzania,Africa,45.757,12607312,848.2186575
Thailand,Asia,58.285,34024249,1295.46066
Togo,Africa,46.769,1735550,1477.59676
Trinidad and Tobago,Americas,65.4,960155,5621.368472
Tunisia,Africa,52.053,4786986,1932.360167
Turkey,Europe,54.336,33411317,2826.356387
Uganda,Africa,48.051,8900294,908.9185217
United Kingdom,Europe,71.36,54959000,14142.85089
United States,Americas,70.76,198712000,19530.36557
Uruguay,Americas,68.468,2748579,5444.61962
Venezuela,Americas,63.479,9709552,9541.474188
Vietnam,Asia,47.838,39463910,637.1232887
West Bank and Gaza,Asia,51.631,1142636,2649.715007
"Yemen, Rep.",Asia,36.984,6740785,862.4421463
Zambia,Africa,47.768,3900000,1777.077318
Zimbabwe,Africa,53.995,4995432,569.7950712
